IngredientID,Name,Category,Effect1,Strength1,Effect2,Strength2,Effect3,Strength3,Effect4,Strength4,Cost,MixingDifficulty,Description
0,Abyssinian Shrivelfig,0,Aerosol,2,Change Form,2,Change Size,-6,Euphoria,4,30,7,A purple fruit found in the African desert. Dries up and shrinks when picked.
1,Aconite,0,Heal,-3,Sleep,-5,SteadyHand,-2,Wolfsbane,5,2,2,A poisonous blue plant with the ability to awaken sleeping beings.
2,Acromantula Venom,1,Change Size,-1,Concentrate,-6,Heal,-10,Sleep,-3,100,9,"Thick, black venom of the giant spiders. Very rare and potent."
3,Alihotsy Leaves,0,Change Weight,-2,Euphoria,7,Insomnia,1,Invigorate,3,3,3,Consuming these speckled leaves results in uncontrollable laughter
4,Antimony,2,Beautify,5,Change Form,3,Invigorate,-2,SteadyHand,-2,8,4,A silver metal used as a cosmetic throughout muggle history
5,Ash,2,Acid,-2,Catalyse,3,Choke,4,Glow,-3,1,2,Burned and blackened organic matter.
6,Ashwinder Eggs,1,Glow,3,Heat,6,Luck,2,Lust,4,40,6,"Eggs of a fire-snake. They are red-hot, and are renowned in love potions."
7,Asphodel,0,Babble,-6,Calm,5,Heal,3,Sleep,2,2,3,"A mundane member of the lily family, used in sleeping potions"
8,Basilisk Venom,1,Acid,7,Calm,-7,Heal,-10,Sleep,-6,120,9,Potent purple venom from the fangs of a monstrous snake.
9,Bezoar,1,Antidote,10,Catalyse,-8,Change Weight,4,Magic,-2,8,4,"A hard, brown lump formed in the stomach of a goat. "
10,Bicorn Horn,1,Change Form,8,Invigorate,5,Luck,-5,,NaN,15,6,"The golden horn of a legendary beast, with many properties."
11,Billywig Sting,1,Antidote,-3,Change Weight,-8,Euphoria,8,Invigorate,3,0,3,The venom inside causes giddiness and levitation.
12,Boomberry,0,Catalyse,-3,Explode,3,Glow,-3,SteadyHand,-3,0,1,A small brown nut that explodes when disturbed.
13,Boomslang Skin,0,Beautify,-4,Change Colour,4,Change Form,8,Heal,-3,0,2,"The brown, sloughed of skin of a nonmagical snake."
14,Bowtruckle Thorn,1,Itch,1,Like,4,SteadyHand,6,Stealthy,3,0,4,Living green wood harvested from the forest-dweller
15,Bubotuber Juice,0,Babble,-3,Boils,4,Smell,-3,Strengthen,2,0,6,White  sap from the magic tree causes boils on contact.
16,Bulbadox Powder,0,Boils,5,Catalyse,3,Explode,3,Itch,8,0,2,Volatile orange powder capable of causing boils and itching
17,Bundium Fluid,1,Acid,9,Invigorate,4,Lust,-6,Smell,-7,0,3,"A powerfully acidic, foul smelling grey secretion."
18,Caterpillar,1,Change Form,3,Change Size,3,Heal,3,Memory,-3,0,1,Pupae form of a butterfly. A variety of species and colours.
19,Centaur Hoof,1,Awareness,7,Concentrate,7,Invigorate,3,Memory,6,0,5,Shavings from the hoof is said to contain the wisdom of the mystical people.
20,Chizpurfle Carapace,1,Antidote,-5,Magic,-6,Stoneskin,6,,NaN,0,3,"A hard, blue shell that is very difficult to prepare."
21,Chizpurfle Fang,1,Catalyse,8,Invigorate,9,Luck,3,Lust,1,0,8,The fang of the magic-absorbing insects is a powerful restorative.
22,Copper,2,Change Colour,3,Itch,-2,Magic,3,Stoneskin,2,0,1,An chemical element with many intruiging properties.
23,Daisy,0,Brave,2,Change Colour,2,Glow,3,Smell,1,0,1,A small white and yellow flower familiar to muggles.
